Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,20,3,1,ordenar,65158,Regular,Canonical,,bailar,29935,Mood,Subjunctive,D
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,10,5,1,esperar,1409514,Regular,Canonical,,atar,15876,Mood,Subjunctive,B
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,15,8,1,conseguir,129144,Irregular,Canonical,,enviar,766523,Mood,Subjunctive,C
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,5,10,1,necesitar,593469,Regular,Canonical,,tomar,506707,Mood,Subjunctive,A
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,19,13,0,valorar,113028,Regular,Canonical,,prestar,73724,Mood,Subjunctive,D
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,9,15,0,necesitar,593469,Regular,Canonical,,prestar,73724,Mood,Subjunctive,B
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,14,18,1,ordenar,65158,Regular,Canonical,,tratar,590952,Mood,Subjunctive,C
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,4,20,1,querer,1263949,Irregular,Canonical,,tratar,590952,Mood,Subjunctive,A
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,18,23,1,desear,148807,Regular,Canonical,,robar,28182,Mood,Subjunctive,D
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,8,25,1,permitir,935997,Irregular,Canonical,,viajar,78141,Mood,Subjunctive,B
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,13,28,1,valorar,113028,Regular,Canonical,,quedar,947469,Mood,Subjunctive,C
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,3,30,1,permitir,935997,Irregular,Canonical,,enviar,766523,Mood,Subjunctive,A
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,17,33,1,conseguir,129144,Irregular,Canonical,,atar,15876,Mood,Subjunctive,D
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,7,35,1,pedir,432187,Irregular,Canonical,,bailar,29935,Mood,Subjunctive,B
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,12,38,1,sugerir,88224,Irregular,Canonical,,dejar,696519,Mood,Subjunctive,C
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,2,40,1,pedir,432187,Irregular,Canonical,,quedar,947469,Mood,Subjunctive,A
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,16,43,1,sugerir,88224,Irregular,Canonical,,viajar,78141,Mood,Subjunctive,D
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,6,45,1,querer,1263949,Irregular,Canonical,,robar,28182,Mood,Subjunctive,B
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,11,48,1,desear,148807,,Canonical,,tomar,506707,Mood,Subjunctive,C
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,1,50,1,esperar,1409514,Regular,Canonical,,dejar,696519,Mood,Subjunctive,A
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,20,3,0,ordenar,65158,Regular,Canonical,,bailar,29935,Mood,Subjunctive,D
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,10,5,1,esperar,1409514,Regular,Canonical,,atar,15876,Mood,Subjunctive,B
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,15,8,0,conseguir,129144,Irregular,Canonical,,enviar,766523,Mood,Subjunctive,C
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,5,10,1,necesitar,593469,Regular,Canonical,,tomar,506707,Mood,Subjunctive,A
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,19,13,0,valorar,113028,Regular,Canonical,,prestar,73724,Mood,Subjunctive,D
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,9,15,1,necesitar,593469,Regular,Canonical,,prestar,73724,Mood,Subjunctive,B
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,14,18,1,ordenar,65158,Regular,Canonical,,tratar,590952,Mood,Subjunctive,C
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,4,20,1,querer,1263949,Irregular,Canonical,,tratar,590952,Mood,Subjunctive,A
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,18,23,1,desear,148807,Regular,Canonical,,robar,28182,Mood,Subjunctive,D
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,8,25,1,permitir,935997,Irregular,Canonical,,viajar,78141,Mood,Subjunctive,B
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,13,28,0,valorar,113028,Regular,Canonical,,quedar,947469,Mood,Subjunctive,C
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,3,30,1,permitir,935997,Irregular,Canonical,,enviar,766523,Mood,Subjunctive,A
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,17,33,1,conseguir,129144,Irregular,Canonical,,atar,15876,Mood,Subjunctive,D
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,7,35,1,pedir,432187,Irregular,Canonical,,bailar,29935,Mood,Subjunctive,B
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,12,38,1,sugerir,88224,Irregular,Canonical,,dejar,696519,Mood,Subjunctive,C
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,2,40,1,pedir,432187,Irregular,Canonical,,quedar,947469,Mood,Subjunctive,A
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,16,43,1,sugerir,88224,Irregular,Canonical,,viajar,78141,Mood,Subjunctive,D
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,6,45,1,querer,1263949,Irregular,Canonical,,robar,28182,Mood,Subjunctive,B
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,11,48,1,desear,148807,Regular,Canonical,,tomar,506707,Mood,Subjunctive,C
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,1,50,1,esperar,1409514,Regular,Canonical,,dejar,696519,Mood,Subjunctive,A
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,20,3,1,ordenar,65158,Regular,Canonical,,bailar,29935,Mood,Subjunctive,D
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,10,5,1,esperar,1409514,Regular,Canonical,,atar,15876,Mood,Subjunctive,B
